record_path	record_id	record_label	grounding_role	grounding_curie	ontology_label	record_label_match	declared_exact_synonyms	missing_exact_synonyms	status	oak_status	source_version
data/traits/metabolism/uses_as_sulfur_source.yaml	METPO:2000020	uses as sulfur source	identifier	METPO:2000020	uses as sulfur source	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/uses_for_aerobic_catabolization.yaml	METPO:2000032	uses for aerobic catabolization	identifier	METPO:2000032	uses for aerobic catabolization	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/uses_for_aerobic_growth.yaml	METPO:2000043	uses for aerobic growth	identifier	METPO:2000043	uses for aerobic growth	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/uses_for_anaerobic_catabolization.yaml	METPO:2000048	uses for anaerobic catabolization	identifier	METPO:2000048	uses for anaerobic catabolization	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/uses_for_anaerobic_growth.yaml	METPO:2000049	uses for anaerobic growth	identifier	METPO:2000049	uses for anaerobic growth	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/uses_for_anaerobic_growth_in_the_dark.yaml	METPO:2000050	uses for anaerobic growth in the dark	identifier	METPO:2000050	uses for anaerobic growth in the dark	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/uses_for_anaerobic_growth_with_light.yaml	METPO:2000051	uses for anaerobic growth with light	identifier	METPO:2000051	uses for anaerobic growth with light	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/uses_for_growth.yaml	METPO:2000012	uses for growth	identifier	METPO:2000012	uses for growth	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/uses_for_respiration.yaml	METPO:2000019	uses for respiration	identifier	METPO:2000019	uses for respiration	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/uses_in_other_way.yaml	METPO:2000015	uses in other way	identifier	METPO:2000015	uses in other way	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/wood_ljungdahl_pathway.yaml	traitmech:000022	Wood-Ljungdahl pathway	identifier	traitmech:000022					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/xylan_degradation.yaml	traitmech:000113	xylan degradation	identifier	traitmech:000113					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/xylan_degradation.yaml	traitmech:000113	xylan degradation	xref	GO:0045493	xylan catabolic process	EXACT_SYNONYM	xylan breakdown | xylan catabolism | xylan degradation		EXACT_COMPLETE	AGREES	releases/2026-07-26
data/traits/morphology/amphitrichous.yaml	traitmech:000059	amphitrichous	identifier	traitmech:000059					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/morphology/axially_filamented.yaml	METPO:1000705	axially filamented	identifier	METPO:1000705	axially filamented	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/bacillus_shaped.yaml	METPO:1000667	bacillus shaped	identifier	METPO:1000667	bacillus shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/black_pigmented.yaml	METPO:1003022	black pigmented	identifier	METPO:1003022	black pigmented	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/branched_shaped.yaml	METPO:1000687	branched shaped	identifier	METPO:1000687	branched shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/brown_pigmented.yaml	METPO:1003023	brown pigmented	identifier	METPO:1003023	brown pigmented	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/capsule.yaml	traitmech:000063	capsule	identifier	traitmech:000063					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/morphology/capsule.yaml	traitmech:000063	capsule	xref	GO:0042603	capsule	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	releases/2026-07-26
data/traits/morphology/carboxysome.yaml	traitmech:000072	carboxysome	identifier	traitmech:000072					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/morphology/carboxysome.yaml	traitmech:000072	carboxysome	xref	GO:0031470	carboxysome	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	releases/2026-07-26
data/traits/morphology/carotenoid_pigmentation.yaml	METPO:1003031	carotenoid pigmentation	identifier	METPO:1003031	carotenoid pigmentation	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/cell_length.yaml	METPO:1000881	cell length	identifier	METPO:1000881	cell length	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/cell_length_large.yaml	METPO:1000886	cell length large	identifier	METPO:1000886	cell length large	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/cell_length_medium.yaml	METPO:1000885	cell length medium	identifier	METPO:1000885	cell length medium	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/cell_length_small.yaml	METPO:1000884	cell length small	identifier	METPO:1000884	cell length small	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/cell_length_very_small.yaml	METPO:1000883	cell length very small	identifier	METPO:1000883	cell length very small	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/cell_shape.yaml	METPO:1000666	cell shape	identifier	METPO:1000666	cell shape	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/cell_width.yaml	METPO:1000882	cell width	identifier	METPO:1000882	cell width	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/cell_width_large.yaml	METPO:1000890	cell width large	identifier	METPO:1000890	cell width large	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/cell_width_medium.yaml	METPO:1000889	cell width medium	identifier	METPO:1000889	cell width medium	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/cell_width_small.yaml	METPO:1000888	cell width small	identifier	METPO:1000888	cell width small	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/cell_width_very_small.yaml	METPO:1000887	cell width very small	identifier	METPO:1000887	cell width very small	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/coccobacillus_shaped.yaml	METPO:1000688	coccobacillus shaped	identifier	METPO:1000688	coccobacillus shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/coccus_shaped.yaml	METPO:1000668	coccus shaped	identifier	METPO:1000668	coccus shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/cream_pigmented.yaml	METPO:1003024	cream pigmented	identifier	METPO:1003024	cream pigmented	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/crescent_shaped.yaml	METPO:1000669	crescent shaped	identifier	METPO:1000669	crescent shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/curved_shaped.yaml	METPO:1000670	curved shaped	identifier	METPO:1000670	curved shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/diplococcus_shaped.yaml	METPO:1000671	diplococcus shaped	identifier	METPO:1000671	diplococcus shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/disc_shaped.yaml	METPO:1000689	disc shaped	identifier	METPO:1000689	disc shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/dumbbell_shaped.yaml	METPO:1000672	dumbbell shaped	identifier	METPO:1000672	dumbbell shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/ellipsoidal.yaml	METPO:1000673	ellipsoidal	identifier	METPO:1000673	ellipsoidal	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/filament_shaped.yaml	METPO:1000674	filament shaped	identifier	METPO:1000674	filament shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/flagellar_arrangement.yaml	traitmech:000056	flagellar arrangement	identifier	traitmech:000056					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/morphology/flagellated.yaml	METPO:1000704	flagellated	identifier	METPO:1000704	flagellated	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/flask_shaped.yaml	METPO:1000675	flask shaped	identifier	METPO:1000675	flask shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/fusiform_shaped.yaml	METPO:1000690	fusiform shaped	identifier	METPO:1000690	fusiform shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/gas_vesicle.yaml	traitmech:000070	gas vesicle	identifier	traitmech:000070					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/morphology/gas_vesicle.yaml	traitmech:000070	gas vesicle	xref	GO:0031411	gas vesicle	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	releases/2026-07-26
data/traits/morphology/gliding.yaml	METPO:1000706	gliding	identifier	METPO:1000706	gliding	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/gram_negative.yaml	METPO:1000699	gram negative	identifier	METPO:1000699	gram negative	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/gram_positive.yaml	METPO:1000698	gram positive	identifier	METPO:1000698	gram positive	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
