file	graph_id	wired_nodes	components	largest_component	component_sizes
data/traits/metabolism/dissimilatory_nitrate_reduction_to_ammonium.yaml	dnra_nitrate_to_ammonium	11	3	5	5,3,3
data/traits/metabolism/dissimilatory_sulfate_reduction.yaml	sulfate_reduction_to_sulfide	12	2	10	10,2
data/traits/metabolism/electron_transfer.yaml	electron_transfer_redox_carriers	17	4	7	7,5,3,2
data/traits/metabolism/ethanol_fermentation.yaml	ethanol_fermentation_pyruvate_to_ethanol	10	1	10	10
data/traits/metabolism/fermentation.yaml	fermentation_redox_energy	16	4	9	9,3,2,2
data/traits/metabolism/fermentative_hydrogen_production.yaml	fermentative_h2_production	7	1	7	7
data/traits/metabolism/homoacetogenesis.yaml	homoacetogenesis_wood_ljungdahl_acetate	21	2	19	19,2
data/traits/metabolism/iron_oxidation.yaml	iron_oxidation_ferrous_to_ferric	12	5	4	4,2,2,2,2
data/traits/metabolism/lactic_acid_fermentation.yaml	lactic_acid_fermentation_lactate	12	1	12	12
data/traits/metabolism/lignin_degradation.yaml	lignin_degradation_peroxidase_laccase	13	4	5	5,3,3,2
data/traits/metabolism/manganese_oxidation.yaml	manganese_oxidation_multicopper_oxidase	7	1	7	7
data/traits/metabolism/metabolism.yaml	metabolism_substrate_to_growth	14	4	6	6,4,2,2
data/traits/metabolism/methanogenesis.yaml	methanogenesis_c1_reduction	15	4	8	8,3,2,2
data/traits/metabolism/mixed_acid_fermentation.yaml	mixed_acid_fermentation_enterobacterial	15	2	13	13,2
data/traits/metabolism/nitrogen_fixation.yaml	nitrogen_fixation_nitrogenase	11	1	11	11
data/traits/metabolism/oxidative_phosphorylation.yaml	oxidative_phosphorylation_chemiosmotic_coupling	16	4	7	7,5,2,2
data/traits/metabolism/oxygenic_photosynthesis.yaml	oxygenic_photosynthesis_water_splitting	13	3	7	7,4,2
data/traits/metabolism/photosynthesis.yaml	photosynthesis_chlorophyll_reaction_center	10	2	6	6,4
data/traits/metabolism/phototrophy.yaml	phototrophy_light_energy_capture	11	2	6	6,5
data/traits/metabolism/propionic_acid_fermentation.yaml	propionic_acid_fermentation_propionate	15	4	6	6,5,2,2
data/traits/metabolism/proteolysis.yaml	proteolysis_extracellular_protease	8	1	8	8
data/traits/metabolism/proteorhodopsin_phototrophy.yaml	proteorhodopsin_light_driven_proton_pump	8	1	8	8
data/traits/metabolism/reductive_tca_cycle.yaml	rtca_reverse_tricarboxylic_acid_co2_fixation	8	1	8	8
data/traits/metabolism/respiration.yaml	respiration_electron_acceptor_energy_conservation	13	2	8	8,5
data/traits/metabolism/starch_degradation.yaml	starch_degradation_amylase	6	1	6	6
data/traits/metabolism/substrate_level_phosphorylation.yaml	substrate_level_phosphorylation_direct_atp	13	3	6	6,5,2
data/traits/metabolism/sulfur_oxidation.yaml	sulfur_oxidation_sox	13	1	13	13
data/traits/metabolism/syntrophy.yaml	syntrophy_interspecies_electron_transfer	16	2	12	12,4
data/traits/metabolism/three_hydroxypropionate_bicycle.yaml	three_hp_bicycle_chloroflexus	14	5	6	6,2,2,2,2
data/traits/metabolism/three_hydroxypropionate_four_hydroxybutyrate_cycle.yaml	three_hp_four_hb_sulfolobales	11	1	11	11
data/traits/metabolism/wood_ljungdahl_pathway.yaml	wood_ljungdahl_reductive_acetyl_coa	15	4	9	9,2,2,2
data/traits/metabolism/xylan_degradation.yaml	xylan_degradation_xylanase	8	3	3	3,3,2
data/traits/morphology/amphitrichous.yaml	amphitrichous_bipolar_flagella	11	2	8	8,3
data/traits/morphology/axially_filamented.yaml	axially_filamented_periplasmic_flagella	10	1	10	10
data/traits/morphology/bacillus_shaped.yaml	bacillus_shaped_rod_elongation	14	4	8	8,2,2,2
data/traits/morphology/black_pigmented.yaml	black_pigmented_melanin_polymer	18	6	6	6,3,3,2,2,2
data/traits/morphology/branched_shaped.yaml	branched_shaped_streptomyces_branching	15	4	7	7,4,2,2
data/traits/morphology/brown_pigmented.yaml	brown_pigmented_pyomelanin_pathway	10	2	8	8,2
data/traits/morphology/capsule.yaml	capsule_polysaccharide_protection	11	3	7	7,2,2
data/traits/morphology/carboxysome.yaml	carboxysome_co2_concentrating	10	1	10	10
data/traits/morphology/carotenoid_pigmentation.yaml	carotenoid_pigmentation_crt_pathway	12	1	12	12
data/traits/morphology/cell_length.yaml	cell_length_division_growth_control	12	1	12	12
data/traits/morphology/cell_length_large.yaml	cell_length_large_division_delay	10	4	4	4,2,2,2
data/traits/morphology/cell_length_medium.yaml	cell_length_medium_growth_rate	13	5	4	4,3,2,2,2
data/traits/morphology/cell_length_small.yaml	cell_length_small_size_setpoint	15	6	5	5,2,2,2,2,2
data/traits/morphology/cell_length_very_small.yaml	cell_length_very_small_streamlining	9	2	7	7,2
data/traits/morphology/cell_shape.yaml	cell_shape_peptidoglycan_cytoskeleton	14	2	12	12,2
data/traits/morphology/cell_width.yaml	cell_width_mreb_lateral_wall	9	1	9	9
data/traits/morphology/cell_width_large.yaml	cell_width_large_setpoint_increase	15	5	6	6,3,2,2,2
data/traits/morphology/cell_width_medium.yaml	cell_width_medium_typical_rod	10	1	10	10
data/traits/morphology/cell_width_small.yaml	cell_width_small_mreb_setpoint	10	2	8	8,2
data/traits/morphology/cell_width_very_small.yaml	cell_width_very_small_streamlining	11	3	7	7,2,2
data/traits/morphology/coccobacillus_shaped.yaml	coccobacillus_shaped_short_rod_morphogenesis	11	1	11	11
data/traits/morphology/coccus_shaped.yaml	coccus_shaped_septal_growth	9	1	9	9
data/traits/morphology/cream_pigmented.yaml	cream_pigmented_low_carotenoid_density	7	1	7	7
data/traits/morphology/crescent_shaped.yaml	crescent_shaped_crescentin_curvature	8	1	8	8
data/traits/morphology/curved_shaped.yaml	curved_shaped_scaffolded_curvature	9	1	9	9
data/traits/morphology/diplococcus_shaped.yaml	diplococcus_shaped_septal_separation	11	1	11	11
data/traits/morphology/disc_shaped.yaml	disc_shaped_anisotropic_wall_growth	6	1	6	6
data/traits/morphology/dumbbell_shaped.yaml	dumbbell_shaped_snapping_division	11	2	7	7,4
data/traits/morphology/ellipsoidal.yaml	ellipsoidal_ovococcal_elongation	13	2	10	10,3
data/traits/morphology/filament_shaped.yaml	filament_shaped_streptomyces_polar_growth	13	1	13	13
data/traits/morphology/flagellar_arrangement.yaml	flagellar_arrangement_flhf_flhg	9	2	6	6,3
data/traits/morphology/flagellated.yaml	flagellated_flagellar_motor	16	3	10	10,3,3
data/traits/morphology/flask_shaped.yaml	flask_shaped_asymmetric_polar_growth	12	5	4	4,2,2,2,2
data/traits/morphology/fusiform_shaped.yaml	fusiform_shaped_tapered_polar_growth	14	5	4	4,3,3,2,2
data/traits/morphology/gas_vesicle.yaml	gas_vesicle_buoyancy	13	5	4	4,3,2,2,2
data/traits/morphology/gliding.yaml	gliding_surface_motility	10	1	10	10
data/traits/morphology/gram_negative.yaml	gram_negative_outer_membrane_dye_loss	17	5	8	8,3,2,2,2
data/traits/morphology/gram_positive.yaml	gram_positive_cell_wall_retention	13	2	11	11,2
data/traits/morphology/gram_stain.yaml	gram_stain_cell_envelope_retention	7	2	5	5,2
data/traits/morphology/gram_variable.yaml	gram_variable_wall_thinning	9	1	9	9
data/traits/morphology/green_pigmented.yaml	green_pigmented_pyocyanin_phenazine	12	1	12	12
data/traits/morphology/helical_shaped.yaml	helical_shaped_pg_relaxation	10	1	10	10
data/traits/morphology/heterocyst.yaml	heterocyst_microoxic_nitrogen_fixation	14	4	5	5,4,3,2
data/traits/morphology/intracellular_inclusion.yaml	inclusion_compartmentalization	14	5	4	4,3,3,2,2
data/traits/morphology/irregular_shaped.yaml	irregular_shaped_loss_of_patterning	10	1	10	10
data/traits/morphology/lophotrichous.yaml	lophotrichous_polar_tuft	10	2	6	6,4
data/traits/morphology/magnetosome.yaml	magnetosome_magnetotaxis	14	4	8	8,2,2,2
data/traits/morphology/monotrichous.yaml	monotrichous_single_polar_flagellum	10	2	7	7,3
data/traits/morphology/motile.yaml	motile_energy_dependent_locomotion	20	1	20	20
data/traits/morphology/motility.yaml	motility_locomotion_machinery	12	1	12	12
data/traits/morphology/mycelial_growth.yaml	mycelial_branching_hyphal_growth	13	4	5	5,4,2,2
data/traits/morphology/non_motile.yaml	non_motile_absent_motility_apparatus	10	1	10	10
data/traits/morphology/non_spore_forming.yaml	non_spore_forming_absent_spo0a_cascade	11	1	11	11
data/traits/morphology/orange_pigmented.yaml	orange_pigmented_carotenoid_accumulation	15	3	8	8,5,2
data/traits/morphology/oval_shaped.yaml	oval_shaped_ovococcal_pg_synthesis	10	1	10	10
data/traits/morphology/ovoid_shaped.yaml	ovoid_shaped_midcell_pg_assembly	13	1	13	13
data/traits/morphology/peritrichous.yaml	peritrichous_surface_distributed_flagella	9	1	9	9
data/traits/morphology/pigmentation.yaml	pigmentation_biosynthetic_colorants	16	4	5	5,5,4,2
data/traits/morphology/pink_pigmented.yaml	pink_pigmented_carotenoid_color	10	1	10	10
data/traits/morphology/pleomorphic_shaped.yaml	pleomorphic_shaped_relaxed_shape_control	10	1	10	10
data/traits/morphology/polyhydroxyalkanoate_granule.yaml	pha_granule_carbon_energy_storage	14	5	6	6,2,2,2,2
data/traits/morphology/polyphosphate_granule.yaml	polyphosphate_granule_storage	7	1	7	7
data/traits/morphology/prosthecate.yaml	prosthecate_stalk_nutrient_uptake	10	3	5	5,3,2
data/traits/morphology/red_pigmented.yaml	red_pigmented_prodiginine_pathway	10	1	10	10
data/traits/morphology/ring_shaped.yaml	ring_shaped_curved_growth_closure	15	6	4	4,3,2,2,2,2
