file	graph_id	defect	severity	detail
data/traits/metabolism/disproportionation.yaml	sulfur_disproportionation_redox_split	MICROBE_DOMAIN_ON_NONORGANISM	WARN	thiosulfate--METPO:2000202-->sulfate subject_type=CHEMICAL predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/disproportionation.yaml	sulfur_disproportionation_redox_split	MICROBE_DOMAIN_ON_NONORGANISM	WARN	thiosulfate--METPO:2000202-->sulfide subject_type=CHEMICAL predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/disproportionation.yaml	sulfur_disproportionation_redox_split	MICROBE_DOMAIN_ON_NONORGANISM	WARN	tsda_thiosulfate_dehydrogenase--METPO:2000202-->tetrathionate subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/disproportionation.yaml	sulfur_disproportionation_redox_split	MICROBE_DOMAIN_ON_NONORGANISM	WARN	teth_tetrathionate_hydrolase--METPO:2000200-->tetrathionate subject_type=GENE_OR_PROTEIN predicate='disproportionates' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/disproportionation.yaml	sulfur_disproportionation_redox_split	MICROBE_DOMAIN_ON_NONORGANISM	WARN	sor_sulfur_oxygenase_reductase--METPO:2000200-->elemental_sulfur subject_type=GENE_OR_PROTEIN predicate='disproportionates' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/disproportionation.yaml	sulfur_disproportionation_redox_split	MICROBE_DOMAIN_ON_NONORGANISM	WARN	sor_sulfur_oxygenase_reductase--METPO:2000202-->sulfite subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/dissimilatory_sulfate_reduction.yaml	sulfate_reduction_to_sulfide	MICROBE_DOMAIN_ON_NONORGANISM	WARN	sat_enzyme--METPO:2000202-->aps subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/dissimilatory_sulfate_reduction.yaml	sulfate_reduction_to_sulfide	MICROBE_DOMAIN_ON_NONORGANISM	WARN	aprab_complex--METPO:2000017-->aps subject_type=GENE_OR_PROTEIN predicate='reduces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/dissimilatory_sulfate_reduction.yaml	sulfate_reduction_to_sulfide	MICROBE_DOMAIN_ON_NONORGANISM	WARN	aprab_complex--METPO:2000202-->sulfite subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/dissimilatory_sulfate_reduction.yaml	sulfate_reduction_to_sulfide	MICROBE_DOMAIN_ON_NONORGANISM	WARN	dsrab_dsrc--METPO:2000202-->dsrc_trisulfide subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/dissimilatory_sulfate_reduction.yaml	sulfate_reduction_to_sulfide	MICROBE_DOMAIN_ON_NONORGANISM	WARN	dsrmkjop_complex--METPO:2000017-->dsrc_trisulfide subject_type=GENE_OR_PROTEIN predicate='reduces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/dissimilatory_sulfate_reduction.yaml	sulfate_reduction_to_sulfide	MICROBE_DOMAIN_ON_NONORGANISM	WARN	dsrmkjop_complex--METPO:2000202-->sulfide subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/electron_transfer.yaml	electron_transfer_redox_carriers	MICROBE_DOMAIN_ON_NONORGANISM	WARN	complex_i--METPO:2000017-->ubiquinone subject_type=GENE_OR_PROTEIN predicate='reduces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/electron_transfer.yaml	electron_transfer_redox_carriers	MICROBE_DOMAIN_ON_NONORGANISM	WARN	terminal_oxidase--METPO:2000017-->oxygen subject_type=GENE_OR_PROTEIN predicate='reduces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/ethanol_fermentation.yaml	ethanol_fermentation_pyruvate_to_ethanol	MICROBE_DOMAIN_ON_NONORGANISM	WARN	ethanol_fermentation_trait--METPO:2000202-->ethanol subject_type=TRAIT predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/ethanol_fermentation.yaml	ethanol_fermentation_pyruvate_to_ethanol	MICROBE_DOMAIN_ON_NONORGANISM	WARN	pyruvate_decarboxylase--METPO:2000202-->acetaldehyde subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
